3159,59,248
3806,160,42
59484,80,233
56142,125,1
97647,150,171
123414,65,434
124245,75,215
124245,55,383
133488,219,32
178515,180,76
187580,159,426
65041,100,61
187728,250,176
194779,200,31
200188,155,79
207342,150,3
211696,140,167
219080,350,159
227530,225,98
231864,120,12
231806,125,91
231946,115,213
232321,90,152
185836,72,81
246493,87,333
247822,75,261
246493,60,219
260785,86,120
263214,250,3
263233,159,53
263844,60,150
264178,149,88
270282,112,1
273329,100,420
276959,125,145
278253,225,82
301340,109,21
306117,750,0
306192,145,92
312863,450,26
213960,179,83
335166,100,9
336950,109,574
336950,109,527
344312,116,131
381900,220,58
387205,175,82
391075,260,10
399879,105,178
399879,70,246
409579,135,39
436145,180,115
436145,115,158
186729,95,695
450453,249,116
124245,45,403
459028,100,68
494281,189,29
510526,75,120
195859,40,141
485930,115,46
249794,150,29
558976,100,74
563208,100,3
468497,165,106
538659,94,309
596513,87,490
607597,99,138
623749,100,38
642044,80,29
670266,259,87
689016,98,82
711896,35,23
715549,52,3
725727,100,52
732783,89,580
753530,695,26
776296,145,46
790547,74,37
436145,120,204
806976,220,18
811403,145,47
815989,120,102
818479,89,45
58458,100,99
856540,230,27
883996,230,158
907405,50,318
915591,160,130
920732,110,88
922787,150,9
935742,95,497
967796,100,37
976652,99,42
539840,79,33
542540,80,64
999036,284,25
1001281,99,15
1011967,99,2
887591,180,13
599238,129,39
1107389,114,150
1124563,150,14
1135329,265,1
1151745,170,187
1155595,100,104
1178877,165,82
1205924,125,16
1238074,175,2
77484,100,107
1158389,80,17
1232843,86,540
1005087,400,56
1298735,119,289
1314459,120,37
1314658,70,97
1318753,449,13
1326878,175,47
187580,149,358
106225,193,77
1334704,145,65
1337537,250,42
1340887,115,88
1340998,188,2
1344947,150,60
1348274,100,4
1350388,168,6
1358307,8000,8
1365416,99,26
226808,225,38
1375554,73,14
1376607,96,103
1294098,190,4
1388357,100,1
1391689,85,20
1317420,125,4
1421327,900,173
1422303,110,9
1426693,120,6
1435990,125,37
1443641,169,22
1446698,125,20
615517,74,141
1471195,115,3
1451657,650,97
1477248,105,30
1480817,115,16
1491565,150,245
1501819,90,177
1491565,150,283
1247363,95,8
1511330,89,187
1493495,105,23
1518360,74,5
1421327,900,166
1509881,175,14
615517,164,4
1532319,117,83
1545992,45,9
1550321,125,83
1557454,126,14
1565512,155,79
1135329,550,3
1573009,295,121
1141485,195,11
1582009,130,6
1582128,464,87
1141485,90,25
1570754,135,61
1598424,169,28
1600010,200,72
